year,     Slaughter,   Yield,    Production, Imports, Exports,consumption,  stocks
 2016/17,     --,     --,11507,1366,1160,11676,350
 2017/18,     --,     --,11943,1358,1297,12052,302
 2018/19,     --,     --,12286,1373,1435,12206,320
 2019/20,     --,     --,12725,1406,1472,12657,322
 2020/21,     --,     --,13003,1412,1489,12956,292
 2021/22,     --,     --,13014,1437,1516,12936,291
 2022/23,     --,     --,13025,1429,1507,12947,291
 2023/24,     --,     --,13127,1432,1510,13050,290
 2024/25,     --,     --,13232,1429,1507,13154,290
 2025/26,     --,     --,13311,1443,1521,13233,290
 2026/27,     --,     --,13394,1447,1526,13315,290
 2027/28,     --,     --,13452,1456,1535,13373,290
 2028/29,     --,     --,13505,1461,1547,13419,290
