year|world_barley_harvest|US_barley_contribution|world_beef_slaughter|US_beef_Slaughter_contribution|world_corn_harvest|US_corn_contribution|world_cotton_harvest|US_cotton_contribution
2016/17|49293.0|2.1057756679447386|236869.0|0.0|186912.0|18.78210066769389|29708.0|12.952740002692877
2017/18|48122.0|1.6437388304725489|242741.0|0.0|183723.0|18.217098566864244|33408.0|13.445881226053642
2018/19|48759.0|1.6407227383662504|246795.0|0.0|183759.0|18.007281276019132|33200.0|12.831325301204819
2019/20|49890.0|1.7839246341952295|248547.0|0.0|187854.0|18.225323921769032|34241.0|14.532285856137378
2020/21|50069.0|1.7775469851604786|262541.0|0.0|190124.0|18.220214176011446|34222.0|13.128981357021798
2021/22|50171.0|1.855653664467521|265166.0|0.0|191756.0|18.065145288804523|34915.0|12.87412286982672
2022/23|50238.0|1.8531788685855328|267679.0|0.0|193644.0|17.889012827663134|36117.0|12.451200265802807
2023/24|50393.0|1.9268549203262357|270155.0|0.0|194980.0|17.766437583341883|36521.0|12.431203964842146
2024/25|50477.0|1.9236483943182046|272532.0|0.0|195732.0|17.594976805019108|36708.0|12.482292688242346
2025/26|50604.0|1.9188206465892026|274554.0|0.0|196893.0|17.49122619900149|36972.0|12.509466623390676
2026/27|50772.0|1.9124714409517056|276638.0|0.0|198210.0|17.37500630644266|37138.0|12.566643330281652
2027/28|50877.0|1.908524480610099|278708.0|0.0|198931.0|17.210490069421056|37402.0|12.592909470081814
2028/29|50996.0|1.9040709075221585|280682.0|0.0|199884.0|17.026875587840948|37696.0|12.600806451612904
